,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,r,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
0,0.0,0.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0,0.1417416780989036,0.04315997889370722,0.0002016755045937387,0.00021965950582508706,0.00019925954199044764,0.0002141825554681023,0.0002081929808018004,0.00020048688402712387,0.00021541947402706663,0.00020965024565829885,0.0001969543822625411,0.00019756349991525467,0.00020422610582805076,0.0002015307580085599,0.000200926855176948,0.0002055516169338613,0.0001887746832538364,0.00018892934958729483,0.00021127652848112598,0.0002097708611075447,0.00020143606496899632,0.00020844699909794775
1,0.0,1.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0001039720278567985,0.1417416780989036,0.04315997889370722,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985
2,0.0,2.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0001039720278567985,0.1417416780989036,0.04315997889370722,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985,0.0001039720278567985
3,1.0,0.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0,0.12617949288813593,0.03392360224011933,0.00019885882601985703,0.00020618782067325926,0.00021006815955736748,0.00020326892548672815,0.0002059227174585092,0.0002096766770064475,0.00022276096032525645,0.00022149352527272502,0.0001987411550570237,0.00021387267533732227,0.00020164778219243897,0.00020180614087826946,0.00020170637973504263,0.00018940693031217022,0.00021415331824307563,0.00021911127635971953,0.00021523464382854567,0.00018691078544163066,0.00020521279424691417,0.00021713088939356263
4,1.0,1.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.00010685780783681843,0.12617949288813593,0.03392360224011933,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843
5,1.0,2.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.00010685780783681843,0.12617949288813593,0.03392360224011933,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843,0.00010685780783681843
6,0.0,0.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.0,0.09125263193275177,0.02281315798318794,0.00020310861718335417,0.00018404923783120033,0.00017603938125628431,0.0002100655489551497,0.00019165322617274307,0.00019726853521687894,0.00018808971925798554,0.0001919672404519679,0.0002005376179515713,0.0001986616235932523,0.0001939423603598888,0.0002108233304800907,0.0002043906866846082,0.00021955663853525108,0.00019663292208722106,0.00018466211308413438,0.00020991127529767682,0.00020612269706620143,0.00018048327234612506,0.00019843886210903607
7,0.0,1.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,9.968358085504496e-05,0.09125263193275177,0.02281315798318794,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05
8,0.0,2.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,9.968358085504496e-05,0.09125263193275177,0.02281315798318794,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05,9.968358085504496e-05
9,1.0,0.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.0,0.0895219254823969,0.026449299541372907,0.0002088778595171865,0.00021045256280364803,0.00020341824132807007,0.00020463015008504988,0.00021558610575951346,0.00020616293376671884,0.00019953797656518737,0.00020353692237785816,0.00020585436706585476,0.00020845202884377186,0.00022047517746496225,0.00020129931960677388,0.0002051716783721109,0.0001984338929565198,0.0001969172251124959,0.00020306083275484102,0.00021306715821844282,0.00020499868269241529,0.00020107817713677778,0.00019789322367369462
10,1.0,1.0,grid,2.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.00010774498121187521,0.0895219254823969,0.026449299541372907,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521,0.00010774498121187521
