,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,r,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
0,0.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0,0.14148035701000056,0.026239593394881286,0.0001878341605575085,0.00020055752776126394,0.0001863495036475166,0.0001902747645397872,0.00019287669923901736,0.00020030900406825953,0.0001877959046468613,0.00019177800647190952,0.00018055021395829032,0.00020329934422386902,0.00019173633270987432,0.00019814869843005667,0.00019777603138810583,0.00019854180990083186,0.00018402858453366134,0.00018838030564621833,0.00019726371424216887,0.00019803821559241053,0.0001919818772968725,0.00019633262015398344
1,0.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.459727385696326e-05,0.14148035701000056,0.026239593394881286,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05
2,0.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.459727385696326e-05,0.14148035701000056,0.026239593394881286,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05,9.459727385696326e-05
3,1.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0,0.14118762971079374,0.030374408686628766,0.00020178689433921924,0.00018775264059478635,0.00019159266767321945,0.000197130126305953,0.0001842589593865426,0.00019121692719996426,0.00018850853612186258,0.0001898705030055626,0.0001878708275370508,0.0001836357117632793,0.00017657476623987716,0.00019334232401492523,0.00018825838866830418,0.00021295095058810042,0.00019382784792139668,0.00019086476748049133,0.00019684325728327784,0.00019684734434494803,0.00020122575083726562,0.000202391350525042
4,1.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.345366105020797e-05,0.14118762971079374,0.030374408686628766,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05
5,1.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.345366105020797e-05,0.14118762971079374,0.030374408686628766,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05,9.345366105020797e-05
6,0.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.0,0.10325060723992863,0.017208434539988104,0.00018741800218197768,0.00020512920802986622,0.00019810907948609438,0.0001863368486336382,0.00019228163657733103,0.00018882808131168017,0.00019038530058130545,0.00018335455408459805,0.00019567646714620024,0.00020049770937482418,0.0001889163253008101,0.00020243296710001257,0.0001952981992904396,0.000211996668534525,0.0002021416214691931,0.00018427205217197217,0.0001890661720848961,0.00018396772859643245,0.00018455950958732133,0.0001922409662859128
7,0.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,9.332359058946945e-05,0.10325060723992863,0.017208434539988104,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05
8,0.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,9.332359058946945e-05,0.10325060723992863,0.017208434539988104,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05,9.332359058946945e-05
9,1.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.0,0.10868243151318885,0.021736486302637772,0.0001883966200108013,0.00019513755522171578,0.0001964511684145633,0.00019039084956935063,0.0001801717829708625,0.00019790806104503456,0.00019809470089838223,0.00019471480367273193,0.00018462220384031088,0.00019734241874391268,0.00019970105434034553,0.000185029319298551,0.00018213063884203263,0.00019969596259027423,0.00018848411292615898,0.0002018365320440536,0.00019071581623049107,0.00020096072430098822,0.00019636569470879222,0.00019220308061908604
10,1.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,9.620348933588705e-05,0.10868243151318885,0.021736486302637772,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05
11,1.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,9.620348933588705e-05,0.10868243151318885,0.021736486302637772,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05,9.620348933588705e-05
12,0.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.5,0.0,0.019529884478160356,0.003905976895632072,0.000182866424988975,0.00019990281576134211,0.00018812331529039983,0.00019459378532063747,0.00017634810424447495,0.00018642252696982587,0.0001800954128393647,0.00019154888329904108,0.00019295278253855525,0.00019620657610724596,0.00020395287407125448,0.00017840721823655483,0.000189756645466748,0.00018461893640028088,0.00019463185401723758,0.00018326923321169343,0.00018295891960063364,0.00018558916993998076,0.0002023389600344851,0.00018971423084918008
13,0.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.5,9.187893161692148e-05,0.019529884478160356,0.003905976895632072,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05
14,0.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.5,9.187893161692148e-05,0.019529884478160356,0.003905976895632072,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05,9.187893161692148e-05
15,1.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.5,0.0,0.018193763508458916,0.004548440877114729,0.00020061097198846396,0.00022095645143332168,0.00021032448295322343,0.00020339796717562249,0.00020550515252923962,0.00022616629265860436,0.0002166726986058212,0.00021036672960172742,0.00019826862828470026,0.0002003870432410319,0.000211645455349632,0.00021052194224086628,0.0001991475254175858,0.0001960410858028421,0.00019083681790756823,0.00019450108196004563,0.00020042547655550025,0.00020816496045923024,0.0001908464294139942,0.00020493083228761356
16,1.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.5,0.0001050773642712296,0.018193763508458916,0.004548440877114729,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296
17,1.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.5,0.0001050773642712296,0.018193763508458916,0.004548440877114729,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296,0.0001050773642712296
18,0.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,1.0,0.0,0.0021327271098099034,0.0005331817774524759,0.00019377751301351292,0.0002020032095580395,0.00020408014858752917,0.0001893372445829439,0.0001969845614600158,0.00019186822190441817,0.00019107691338595922,0.00019339125315388593,0.00020535861825271402,0.0001910080519704313,0.00020045329984324446,0.00020019863851144403,0.00019124948842169341,0.00019943049612783525,0.00019410440716494378,0.00019894019791253168,0.0001903595186091691,0.0001946775009558472,0.00019050433459750091,0.00020661063893959592
19,0.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,1.0,9.753880296871939e-05,0.0021327271098099034,0.0005331817774524759,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05
20,0.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,1.0,9.753880296871939e-05,0.0021327271098099034,0.0005331817774524759,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05,9.753880296871939e-05
21,1.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,1.0,0.0,0.0025263028135737013,0.0005052605627147403,0.0001991150850183084,0.0001919427643516085,0.0001888929535992445,0.00018582984326786923,0.0001967869634437192,0.0001995823581852577,0.00018883411200134288,0.0002081457087030499,0.0001992600617825439,0.0002032296718856662,0.00020539696844495509,0.00020840758312324405,0.0001957818908839003,0.0001943121449972289,0.0002009718121735338,0.00018943275265864945,0.00020351153417117701,0.00019153357612704751,0.00020622327715618852,0.00021339165273054182
22,1.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,1.0,0.00010000705293546763,0.0025263028135737013,0.0005052605627147403,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763
23,1.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,2.0,1.0,1.0,0.00010000705293546763,0.0025263028135737013,0.0005052605627147403,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763,0.00010000705293546763
24,0.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.01,0.0,0.1418789979168215,0.03483180794929244,0.00019579702883774767,0.00019735959272088892,0.00021066647303131345,0.00019409905761351727,0.00019478691807544923,0.00019380895500320527,0.00019511880718718627,0.0001952078947866266,0.0001984037594844541,0.00019918655983754846,0.00019653575408242236,0.00020438274425367979,0.0001966069924237575,0.00021178161285842164,0.00019792632963669694,0.0002021285127421677,0.0001976720701399915,0.00019415766583916706,0.00018768603193761835,0.00019691099307162362
25,0.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.01,9.84840884130142e-05,0.1418789979168215,0.03483180794929244,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05
26,0.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.01,9.84840884130142e-05,0.1418789979168215,0.03483180794929244,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05,9.84840884130142e-05
27,1.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.01,0.0,0.14367136263573677,0.036455735158128486,0.0001868284272172518,0.0001981438347301239,0.00019232108926091647,0.0002024890376632871,0.00020573415441952513,0.00020142198039884096,0.0001928633769928424,0.00019928265664784537,0.00019916516556732678,0.0001880908900308334,0.00019953417401384271,0.00020505527975821585,0.0001811951455195721,0.00021514906187530762,0.0002102966141611557,0.00019496130762729303,0.00020610752755414736,0.00020611427537197888,0.0001925623178104597,0.00020105445554288165
28,1.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.01,9.979166076295537e-05,0.14367136263573677,0.036455735158128486,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05
29,1.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.01,9.979166076295537e-05,0.14367136263573677,0.036455735158128486,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05,9.979166076295537e-05
30,0.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.1,0.0,0.1147269404013033,0.0219822178394519,0.00020876003801107739,0.00020817637449622425,0.00019164224133446837,0.0001925769816669883,0.00020979499251669623,0.00019505554247393447,0.00020660252225479026,0.00020094791946630644,0.000193127676995177,0.00020070261314415495,0.000194918195137708,0.0002087219706426709,0.00021340463250801102,0.00019877338585942505,0.00021867448215554444,0.0002051185386174438,0.0001943949656138223,0.00019508131417679482,0.0002049545746575866,0.00021845409507321168
31,0.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.1,0.00010427465549491807,0.1147269404013033,0.0219822178394519,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807
32,0.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.1,0.00010427465549491807,0.1147269404013033,0.0219822178394519,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807,0.00010427465549491807
33,1.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.1,0.0,0.09935845280469704,0.01987169056093941,0.00018474164086149225,0.00019474828205228895,0.00019793873066513388,0.00019370148171343044,0.000196029910673764,0.00018584280552200872,0.00019391677719685627,0.00018036926245880696,0.00019258940357721324,0.00019253405406198193,0.00018525358978071675,0.0001858577175190167,0.0001983047179121414,0.00017138195399165086,0.00019319414518421827,0.00018588528139223563,0.00019721532518377857,0.00018803287281879665,0.00020783640757564105,0.00019499297773777042
34,1.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.1,9.269242216048745e-05,0.09935845280469704,0.01987169056093941,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05
35,1.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.1,9.269242216048745e-05,0.09935845280469704,0.01987169056093941,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05,9.269242216048745e-05
36,0.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.5,0.0,0.039480345476735235,0.009114471619119824,0.00018307210577940192,0.0002000335283810046,0.00019832368437664092,0.00020504457489320637,0.00019827295097183263,0.00019921476077651196,0.00020804668227076805,0.00019205214552700617,0.00020457950279405263,0.00020482525907858324,0.0002075929907963927,0.00020682669843857367,0.00019982904830977328,0.0001920099915308072,0.00021504405893504102,0.00020036247280587615,0.00019247447760931962,0.00020585697547600848,0.00020389599431128394,0.00018672654184772675
37,0.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.5,9.911543913126632e-05,0.039480345476735235,0.009114471619119824,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05
38,0.0,2.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.5,9.911543913126632e-05,0.039480345476735235,0.009114471619119824,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05,9.911543913126632e-05
39,1.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,0.0,0.01,4.0,1.0,0.5,0.0,0.036926298960970765,0.008492975785889773,0.0002160117926908558,0.0001961063606686239,0.0002036685758554497,0.00021352966301705405,0.00020254179848740219,0.00020550485669539698,0.000211798241159119,0.00020341680036256677,0.0002166788993199583,0.00020829826873305444,0.0002105464147282634,0.00020055201185377347,0.00020179900719025426,0.00021165107223776962,0.0001995839260970505,0.00019708046699965997,0.00021276350881504203,0.00021618639597665483,0.0002060468947099322,0.00020369979933932043
