,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
10,5.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.00010622071425364682,0.01614448227709529,0.0006827035537384867,0.00011499588005586375,0.00011736216196425808,0.00012236763847022446,0.00011823618537750704,0.00010756277541553565,0.00010507053210542887,0.00011788891730184958,0.0001251469638172958,0.00011764777668516544,0.00010392653051252696,0.00011276989394166514,0.00011967026616376977,0.00011911841594028133,0.00010654528331695244,0.00010537892706449006,0.00011773935207159988,0.00011261747963805808,0.00010298345986174508,0.00011472648964489037,0.00012086372527072949
11,5.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.264862128835426e-05,0.01614448227709529,0.0006827035537384867,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05,1.264862128835426e-05
12,6.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.0001092702556097788,0.015488727333870274,0.0006453636389112614,0.00011095427294327732,0.00011593599958725836,0.00012295306380633798,0.00011486987293826116,0.00011217529605947311,0.00011807122946045728,0.00011481631073203435,0.00010706923583906737,0.00011854941735291542,0.00011352233956338864,0.00011429494959798166,0.00010967169529665559,0.00011592346459619185,0.00011091859476450509,0.00011561337758672605,0.00011330665207094797,0.00011174765798547798,0.00010721623829494144,0.00012026647318537827,0.00011194541112843427
13,6.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.2334043180636054e-05,0.015488727333870274,0.0006453636389112614,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05,1.2334043180636054e-05
14,7.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.00011551940834477529,0.01578585918773996,0.0007866310744298628,0.0001062322861267594,0.00010868972715456725,0.00011635831124628856,0.00011087923588518028,0.00011926337163325049,0.00011129712140082124,0.00011007869992081758,0.00010459910885341647,0.00011910971162787493,0.0001121135630690978,0.00010887249801813026,0.00011372412422687446,0.00010656066082368338,0.0001076334341783011,0.00011840583206909673,0.00011201727139720974,0.00011161747046249378,0.0001174889531158287,0.00011610987716218869,0.00010750278356882192
15,7.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.1739108771093073e-05,0.01578585918773996,0.0007866310744298628,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05,1.1739108771093073e-05
16,8.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.00010366419676246598,0.01564633739058012,0.0006802235493130813,0.00011294729488795791,0.00010402590014799127,0.00010764314020151259,0.00011432714315578317,0.00010974514332164352,0.00010666935892681255,0.00011455279333546362,0.0001218605730624182,0.00010852866383376167,0.00010699912375420381,0.00010971520814681194,0.0001126471415939024,0.00011089135953828931,0.00012362853566495367,0.00010933836800295764,0.00010280837193130221,0.00011178481517912716,0.00011950148455126328,0.00011706806881515342,0.00011451111031981642
17,8.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.1759261207834612e-05,0.01564633739058012,0.0006802235493130813,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05,1.1759261207834612e-05
18,9.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.00010785981544071445,0.01661878814119051,0.0006553625500566072,0.00011713033044211047,0.00010658938986125423,0.00010733588730133286,0.000111068321686813,0.0001078000925433203,0.00011007120190734299,0.00012328229919961778,0.00011323503410241526,0.00011071264840448045,0.000124020296678995,0.00011202885807092525,0.00011149488488051546,0.00011415376333083126,0.0001124684004020081,0.00010599710319963334,0.00010552086496924722,0.00010717421993781125,0.00010818286470303845,0.00010415764000744678,0.00011703558049319506
19,9.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.1628203212555659e-05,0.01661878814119051,0.0006553625500566072,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05,1.1628203212555659e-05
