,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,r,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
0,0.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0,0.14381230757670804,0.07882752039480675,0.00017974111452732482,0.00019694880793186137,0.0002035568754536293,0.00019872565112485146,0.00019528313468315605,0.00018968754007341965,0.00019556123374179528,0.00018507825468860845,0.00019850295845073304,0.00019406820626694795,0.00018806179530196084,0.00020847864299593826,0.00019263467286187533,0.000191301297064155,0.00018808256989440614,0.00018345833334213312,0.00019967601379803114,0.0002089993373022356,0.00019658312148244955,0.00018424418194549986
1,0.0,1.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.419865129345558e-05,0.14381230757670804,0.07882752039480675,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05
2,0.0,2.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.419865129345558e-05,0.14381230757670804,0.07882752039480675,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05,9.419865129345558e-05
3,1.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,0.0,0.14069323024263802,0.10275449714837084,0.0002068600660335979,0.00020937345535092778,0.0001928181028427564,0.00019719343896396738,0.00019464016537665824,0.00019524548158624672,0.00019671871592880322,0.00019703227492318587,0.0002038718570210669,0.00017846439588411453,0.0001963993415388317,0.00019934145307520728,0.0001997542658030948,0.00019617097352428036,0.00020068717905824478,0.00019162394012627997,0.0002080863296042021,0.0001984690505535557,0.00019929085303829636,0.0001969541294925026
4,1.0,1.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.822011618077287e-05,0.14069323024263802,0.10275449714837084,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05
5,1.0,2.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.01,9.822011618077287e-05,0.14069323024263802,0.10275449714837084,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05,9.822011618077287e-05
6,0.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.0,0.10878804273660965,0.061771057846487024,0.00020582998937322965,0.00020844896696998932,0.00019589430034820259,0.00019772442164975662,0.00019753238156369778,0.00018898517606008412,0.0001959963718063681,0.00020520896487743968,0.00019801578075329785,0.00020440853791607854,0.000213749341802584,0.00020437985837957828,0.00019920091685010676,0.0002098093027873057,0.00019675608367677306,0.00019543474933816305,0.00020699026624516109,0.0001911775931060931,0.00019924653183226533,0.0001831865920980689
7,0.0,1.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.00010207760153796136,0.10878804273660965,0.061771057846487024,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136
8,0.0,2.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.00010207760153796136,0.10878804273660965,0.061771057846487024,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136,0.00010207760153796136
9,1.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,0.0,0.01,2.0,1.0,0.1,0.0,0.11229760148452073,0.04541852954594929,0.00019764359391165635,0.00020269060992828813,0.00019016976801076625,0.00019403637554655674,0.00022049090518397037,0.00020493782455325362,0.00020555449832110955,0.00019957093546544492,0.00020630096205785534,0.0002018449965113589,0.0002083121780151775,0.00019905657583349696,0.00020222392066335322,0.0002156719442533563,0.00021480956866844886,0.00019295277062271967,0.00019050169531590385,0.00021616387536825633,0.000203172050839092,0.0002022876299589089
